datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/06/30 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,MONTALVANIA,Cerrado,35,0,1,-14.286,-44.271,36.2
2020/06/30 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,SAO SEBASTIAO DO PARAISO,Cerrado,3,0,1,-20.934,-46.972,37.1
2020/06/30 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,PLANURA,Cerrado,36,0.6,1,-20.097,-48.712,22.9
2020/06/30 17:05:00,AQUA_M-T,Brasil,MINAS GERAIS,PLANURA,Cerrado,36,0.7,1,-20.088,-48.714,11.8
2020/07/01 16:10:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,37,0,0.8,-17.508,-47.419,111.3
2020/07/01 16:10:00,AQUA_M-T,Brasil,MINAS GERAIS,PARACATU,Cerrado,37,0,0.9,-17.506,-47.428,52.8
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,SAO JOSE DA BARRA,Cerrado,3,0,1,-20.701,-46.342,6.7
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,SACRAMENTO,Cerrado,8,0,0.7,-20.016,-47.213,6.1
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,SACRAMENTO,Cerrado,8,0,0.7,-19.932,-47.261,8.8
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,CURVELO,Cerrado,38,0,1,-18.429,-44.277,16.1
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,BELMIRO BRAGA,Mata Atlantica,0,0,0.8,-22.011,-43.549,5.2
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,MADRE DE DEUS DE MINAS,Mata Atlantica,23,0,1,-21.559,-44.243,6.2
2020/07/02 16:55:00,AQUA_M-T,Brasil,MINAS GERAIS,PARAGUACU,Mata Atlantica,13,0,1,-21.486,-45.739,30.7
